Japanese,English,,,
これ ,this (thing here),,,
それ,that (thing near you),,,
あれ,that (thing over there),,,
この〜,"this ~, this 〜here",,,
その〜,"that ~, that ~ near you",,,
あの〜,"that ~, that ~ over there",,,
ほん,book,,,
じしょ,dictionary,,,
ざっし,magazine,,,
しんぶん,newspaper,,,
ノート,notebook,,,
てちょう,pocket notebook,,,
めいし,business card,,,
カード,card,,,
テレホンカード,telephone card,,,
えんぴつ,pencil,,,
ボールペン,ballpoint pen,,,
シャープペンシル,mechanical pencil,,,
かぎ,key,,,
とけい,"watch, clock",,,
かさ,umbrella,,,
かばん,"bag, briefcase",,,
[カセット] テープ,[cassette] tape,,,
テープレコーダー,tape recorder,,,
テレビ,television,,,
ラジオ,radio,,,
カメラ,camera,,,
コンピューター,computer,,,
じどうしゃ,"automobile, car",,,~
つくえ いす,desk,,,
いす,chair,,,
チョコレート,chocolate,,,
コーヒー,coffee,,,
えいご,the English language,,,
にほんご,the Japanese language,,,
〜ご,~ language,,,
なん,what,,,
そう,So,,,
ちがいます。,"No, it isn't./You are wrong.",,,
そうですか。,I see./Is that so?,,,
 あのう,well (used to show hesitation),,,
どうぞ,Please./Here you are. (offering),,,
どうも。,"Well, thanks.",,,
[どうも] ありがとう [ございます]。,Thank you [very much].,,,
